Name,quant_12,quant_11,quant_2,quant_3,quant_4,quant_10,quant_1
Pmin_ref_seq_8537,3.085229,2.493302,0.496146,2.287267,0.897966,1.77776,0.413834
Pmin_ref_seq_8538,3.09982,2.292534,4.18281,3.038893,2.099034,3.409803,6.187257
Pmin_ref_seq_8539,1.680839,1.018457,2.084472,1.642589,2.182965,3.76495,0.76058
Pmin_ref_seq_8540,2.120049,2.83476,0.0,1.412771,1.539735,1.987974,0.338069
Pmin_ref_seq_8541,0.0,0.0,7.039136,0.0,0.0,0.0,1.409593
Pmin_ref_seq_8542,2.149138,2.254781,0.148756,4.449563,2.369214,2.692136,0.893398
Pmin_ref_seq_8543,0.02256,1.168849,2.059892,2.121009,1.747686,6.331974,7.904603
Pmin_ref_seq_8544,3.272098,3.241367,1.483478,5.398197,2.912757,4.41925,0.983468
Pmin_ref_seq_8545,0.960299,0.396549,1.770805,1.009949,0.615274,1.085069,2.074705
Pmin_ref_seq_8546,0.0,1.559811,0.557641,1.772813,1.47206,4.199266,1.315878
Pmin_ref_seq_8547,5.134275,3.629039,4.864553,19.310616,4.439442,13.912558,9.157542
Pmin_ref_seq_8548,2.179009,0.0,0.0,4.360054,3.573151,2.265201,2.118203
Pmin_ref_seq_8549,1.217808,1.761901,1.748684,3.104081,1.67334,3.213469,1.536357
Pmin_ref_seq_8550,0.0,2.397736,0.0,2.150662,1.089629,0.677489,3.102312
Pmin_ref_seq_8551,3.457077,1.833427,1.245108,4.735018,2.346126,1.715229,1.250984
Pmin_ref_seq_8552,0.0,0.0,0.589447,0.582055,0.534085,0.0,2.016788
Pmin_ref_seq_8553,0.994008,2.277763,3.479233,3.540305,1.875028,3.433975,3.170398
Pmin_ref_seq_8554,0.0,0.0,10.828061,0.024547,0.294931,0.0,0.420935
Pmin_ref_seq_8555,0.782394,0.380279,9.461453,1.764426,0.529002,1.984042,6.151879
Pmin_ref_seq_8556,2.228313,4.16644,1.464605,6.88925,2.416441,11.806007,2.24684
Pmin_ref_seq_8557,3.213599,3.032588,0.0,7.172008,2.579662,9.321045,4.058701
Pmin_ref_seq_8558,2.066119,1.496351,0.597012,11.398696,5.89822,13.76892,3.000296
Pmin_ref_seq_8559,2.386743,1.416433,0.557756,1.599138,2.129664,2.964297,0.529602
Pmin_ref_seq_8560,1.435806,2.114439,0.871181,2.985895,0.943245,3.108566,1.970464
Pmin_ref_seq_8561,2.392248,9.082143,5.166654,2.747318,2.220402,9.034834,3.230403
Pmin_ref_seq_8562,2.296868,2.977341,1.666428,2.509224,2.240203,5.778213,1.856915
Pmin_ref_seq_8563,1.545023,1.188875,1.952979,1.286814,0.917265,1.777245,2.052295
Pmin_ref_seq_8564,2.591635,0.0,0.535103,2.168243,1.789124,1.878786,0.0
Pmin_ref_seq_8565,3.156299,2.578802,1.884799,3.288348,2.134792,7.150222,1.412726
Pmin_ref_seq_8566,0.25712,0.360181,6.552709,0.504766,1.457711,3.326645,11.096645
Pmin_ref_seq_8567,3.609124,6.030104,2.509736,11.019187,5.311577,37.573622,2.478685
Pmin_ref_seq_8568,4.600681,6.724825,0.0,5.011181,6.065759,0.546861,2.607278
Pmin_ref_seq_8569,4.190494,8.855123,7.146686,3.740222,2.100257,0.135234,6.854426
Pmin_ref_seq_8570,1.359062,0.85016,0.454235,4.113178,1.623274,5.275749,0.478414
Pmin_ref_seq_8571,7.839586,2.370825,9.873605,6.526355,5.280907,20.954228,14.1444
Pmin_ref_seq_8572,0.426112,1.185885,2.447502,0.926943,0.69563,3.813992,0.673984
Pmin_ref_seq_8573,0.68665,0.676704,1.738178,2.250781,0.698429,1.609521,2.138818
Pmin_ref_seq_8574,3.953994,2.271182,0.0,3.255893,3.606027,6.089872,4.596379
Pmin_ref_seq_8575,4.39969,2.810578,51.92337,1.990869,1.240352,5.800228,25.487362
Pmin_ref_seq_8576,1.663711,0.0,0.362719,2.187442,1.756868,2.342573,18.062781
Pmin_ref_seq_8577,0.0,0.0,0.0,6.175835,0.0,33.978009,25.609685
Pmin_ref_seq_8578,0.133715,0.076571,0.47066,0.547477,1.352089,1.749743,8.390901
Pmin_ref_seq_8579,0.433154,1.188202,1.527261,2.162815,0.855919,3.182214,1.087197
Pmin_ref_seq_8580,31.475709,0.0,1471.406321,17.566594,5.806547,8.247563,597.606873
Pmin_ref_seq_8581,2.53309,2.255663,0.434048,2.546756,2.097633,6.354731,0.071969
Pmin_ref_seq_8582,4.475382,3.409548,1.481726,2.983965,2.371062,8.411951,2.347771
Pmin_ref_seq_8583,2.685148,3.257839,1.115864,6.115308,2.354552,8.323628,1.48616
Pmin_ref_seq_8584,1.77875,1.515063,1.518667,3.147765,1.637616,3.280102,3.261277
Pmin_ref_seq_8585,2.878541,3.247353,5.686491,1.42185,1.658391,4.529325,2.992938
Pmin_ref_seq_8586,1.198785,0.916339,5.585717,3.073695,1.248327,3.497157,2.34011
Pmin_ref_seq_8587,0.700009,0.0,0.532819,3.195467,1.446376,4.90876,1.894093
Pmin_ref_seq_8588,2.409015,1.730359,0.236266,2.456049,1.356765,2.307658,0.793288
