Name,healthy_fem,infected_fem,healthy_male,infected_male
Pmin_ref_seq_159,1.068441,1.1774735,6.355207999999999,1.3009155
Pmin_ref_seq_160,0.0,0.2310535,0.0,2.2586065
Pmin_ref_seq_161,0.0,2.8126025,0.0,4.3526015000000005
Pmin_ref_seq_162,4.097764,2.2769505,5.119876,1.618262
Pmin_ref_seq_163,0.0,0.62332,0.0,3.4311890000000003
Pmin_ref_seq_164,0.162697,1.060629,2.0820885,0.726982
Pmin_ref_seq_165,0.81099,2.0051675,3.104263,1.153905
Pmin_ref_seq_166,0.0,2.759247,0.0,3.4812615
Pmin_ref_seq_167,0.0,7.661441,0.0,4.936428
Pmin_ref_seq_168,1.214414,1.68882,3.1813835,1.6828335
Pmin_ref_seq_169,0.0,5.848241,0.0,8.383136499999999
Pmin_ref_seq_170,0.0,1.553936,0.0,2.2249265
Pmin_ref_seq_171,0.0,301.8819185,0.0,1708.8839355
Pmin_ref_seq_172,0.09421,2.063274,1.9025205,1.7416565
Pmin_ref_seq_173,1.323182,2.673381,3.073182,2.034651
Pmin_ref_seq_174,0.0,4.5180205,3.301286,14.023908
Pmin_ref_seq_175,0.0,812.079783,0.0,1192.0368145
Pmin_ref_seq_176,1.050165,2.860968,2.8661790000000003,1.6619735
Pmin_ref_seq_177,10.534034,6.1729465,11.3621455,5.5079475
Pmin_ref_seq_178,0.0,88.31892549999999,0.0,222.10772100000003
Pmin_ref_seq_179,1.18346,2.0546465,0.232808,1.5411609999999998
Pmin_ref_seq_180,0.666754,2.428201,1.6418404999999998,1.587328
Pmin_ref_seq_181,2.221717,2.8236895,1.722359,1.485567
Pmin_ref_seq_182,6.809806,0.065449,0.7499855,1.3803375
Pmin_ref_seq_183,0.84682,1.275052,2.696094,1.274552
Pmin_ref_seq_184,0.0,0.388358,0.0,2.1043185
Pmin_ref_seq_185,0.0,1.350726,0.0,2.3513875
Pmin_ref_seq_186,0.0,206.874188,235.6653295,161.949879
Pmin_ref_seq_187,0.0,5.0210065,0.0,3.685853
Pmin_ref_seq_188,0.141185,3.0661295,2.434208,1.1951655
Pmin_ref_seq_189,0.0,4.4916255,0.0,5.5059025
Pmin_ref_seq_190,0.0,1.097415,0.0,2.224724
Pmin_ref_seq_191,0.0,40.946997,0.0,40.1448325
Pmin_ref_seq_192,0.260435,3.1967095,3.891508,2.022683
Pmin_ref_seq_193,0.440489,2.081237,1.8090555,0.8781485
Pmin_ref_seq_194,1.745772,1.0285055,9.472749,1.9223165
Pmin_ref_seq_195,0.0,4.502106,0.0,1.5888455
