"GeneIDs"	"GL_LPV"	"Corr. GL_LPV"	"Healthy_fem"	"Healthy_male"
"Pmin_ref_seq_8326"	9.28477061634004	8.04375118271894	1	-1
"Pmin_ref_seq_9724"	9.04647046033017	7.81370925185409	1	0
"Pmin_ref_seq_3000"	8.99105118826197	7.76227254508216	1	-1
"Pmin_ref_seq_9730"	8.73119614005605	7.51305902308869	1	0
"Pmin_ref_seq_703"	8.7102999433482	7.49288126241218	1	-1
"Pmin_ref_seq_3316"	8.40317119473627	7.19428230318103	1	0
"Pmin_ref_seq_395"	8.39794353746718	7.18975795696751	1	0
"Pmin_ref_seq_6687"	7.86285900418425	6.67659830523862	1	-1
"Pmin_ref_seq_2889"	7.85046458561219	6.6648715185919	1	-1
"Pmin_ref_seq_3499"	7.65599573736147	6.478989761141	1	-1
"Pmin_ref_seq_1234"	7.60287784530772	6.42717801888953	1	-1
"Pmin_ref_seq_1338"	7.33255042931519	6.16396504241185	1	0
"Pmin_ref_seq_1118"	7.3307024051518	6.16275804343038	1	0
"Pmin_ref_seq_8803"	7.11972766329625	5.95687772341451	1	-1
"Pmin_ref_seq_1692"	7.06459018703965	5.90552222590792	1	-1
"Pmin_ref_seq_6488"	6.96448497984818	5.80916634688286	1	-1
"Pmin_ref_seq_8452"	6.88330388049069	5.73170248404431	1	-1
"Pmin_ref_seq_8634"	6.7710707434179	5.62315503654849	1	0
"Pmin_ref_seq_3002"	6.71507944696152	5.5689949212249	1	-1
"Pmin_ref_seq_9711"	6.6912485782356	5.54880341302999	1	-1
"Pmin_ref_seq_9965"	6.6545522738319	5.51271071467469	1	-1
"Pmin_ref_seq_6295"	6.60153866892118	5.46270261990368	1	0
"Pmin_ref_seq_5278"	6.59507095405955	5.4574313093301	1	0
"Pmin_ref_seq_5750"	6.51600871449107	5.38371247324009	1	-1
"Pmin_ref_seq_3070"	6.42597035963611	5.2983692395935	1	-1
"Pmin_ref_seq_526"	6.36328196101975	5.23800950329573	1	0
"Pmin_ref_seq_726"	6.32495576718886	5.20199955219201	1	0
"Pmin_ref_seq_5703"	6.17767220649702	5.06159150948423	1	-1
"Pmin_ref_seq_8576"	5.95641478614702	4.84822032754822	1	-1
"Pmin_ref_seq_848"	5.85921780773195	4.75453996823868	1	0
"Pmin_ref_seq_8266"	5.79807025499855	4.69871670183716	1	-1
"Pmin_ref_seq_3190"	5.77684803277861	4.67858704492779	1	0
"Pmin_ref_seq_6709"	5.66763580007141	4.57533527920499	1	-1
"Pmin_ref_seq_7563"	5.43601816920421	4.3548744504006	1	-1
"Pmin_ref_seq_535"	5.13119058095886	4.07303076907594	1	-1
"Pmin_ref_seq_3380"	5.12925022257407	4.07158759961999	1	-1
"Pmin_ref_seq_122"	5.06177789203367	4.01052745627692	1	0
"Pmin_ref_seq_5013"	5.04676486255613	3.99600377274624	1	-1
"Pmin_ref_seq_3058"	4.94194455718575	3.89459353691318	1	0
"Pmin_ref_seq_5741"	4.88118231671194	3.83673305210252	1	-1
"Pmin_ref_seq_8166"	4.83411764478263	3.79302943771523	1	-1
"Pmin_ref_seq_8206"	4.79024254104443	3.75058686242894	1	0
"Pmin_ref_seq_1360"	4.72301998672668	3.68763375848375	1	-1
"Pmin_ref_seq_5739"	4.67077312649345	3.63867880504946	1	-1
"Pmin_ref_seq_586"	4.60885389079649	3.57816278376194	1	-1
"Pmin_ref_seq_6271"	4.49641456054083	3.47267231346161	1	-1
"Pmin_ref_seq_7543"	4.40240774501591	3.385504922467	1	-1
"Pmin_ref_seq_740"	4.39663846621871	3.38018779829877	1	0
"Pmin_ref_seq_9800"	4.3683033898091	3.35634856412862	1	-1
"Pmin_ref_seq_7694"	4.3673919079608	3.35588411729859	1	-1
"Pmin_ref_seq_4953"	4.17949221045805	3.18031815486956	1	0
"Pmin_ref_seq_5723"	4.03462786982626	3.04320159223851	1	-1
"Pmin_ref_seq_5817"	3.96355846762239	2.97679978679633	1	0
"Pmin_ref_seq_9600"	3.9057878695207	2.92322936148939	1	-1
"Pmin_ref_seq_6392"	3.89344054479695	2.911717218719	1	0
"Pmin_ref_seq_1647"	3.7785276666824	2.80506899499525	1	-1
"Pmin_ref_seq_6294"	3.74650733949654	2.7750904885986	1	-1
"Pmin_ref_seq_8827"	3.69833239626137	2.7329840346262	1	-1
"Pmin_ref_seq_2515"	3.63254311083671	2.67198921719792	1	-1
"Pmin_ref_seq_8369"	3.5653040358734	2.61106152643408	1	-1
"Pmin_ref_seq_3501"	3.53722553736238	2.5849366726116	1	0
"Pmin_ref_seq_2514"	3.48761171669844	2.53881741737142	1	0
"Pmin_ref_seq_5870"	3.43861297568928	2.49328534695305	1	-1
"Pmin_ref_seq_5856"	3.41864535825459	2.4748496340411	1	-1
"Pmin_ref_seq_6721"	3.39793955768739	2.45643160600874	1	0
"Pmin_ref_seq_5186"	3.32811466445737	2.39152259309704	1	-1
"Pmin_ref_seq_6103"	3.28063545105826	2.34853225151515	1	0
"Pmin_ref_seq_672"	3.26755404457613	2.33656585073381	1	-1
"Pmin_ref_seq_6228"	3.25814941179482	2.32753225127869	1	0
"Pmin_ref_seq_671"	3.11808143720908	2.1995338685424	1	0
"Pmin_ref_seq_5763"	3.03375450479977	2.12165165511782	1	-1
"Pmin_ref_seq_534"	2.94365893404028	2.04347451785297	1	-1
