"GeneIDs"	"GL_LPV"	"Corr. GL_LPV"	"Healthy_male"	"Infected_male"
"Pmin_ref_seq_6764"	26.7024848527516	25.5914902910814	1	-1
"Pmin_ref_seq_6601"	26.6591029551845	25.5492306021023	1	-1
"Pmin_ref_seq_465"	26.1993456047169	25.0922661518189	1	-1
"Pmin_ref_seq_7777"	25.885477479147	24.781725969598	1	0
"Pmin_ref_seq_8381"	25.5095635100866	24.4096626418157	1	-1
"Pmin_ref_seq_1800"	24.7430460694542	23.6512833746403	1	-1
"Pmin_ref_seq_3472"	23.8777581002711	22.791867946443	1	-1
"Pmin_ref_seq_297"	23.5064309579236	22.4242369496555	1	-1
"Pmin_ref_seq_6748"	23.0893083445142	22.0123405663647	1	-1
"Pmin_ref_seq_9961"	23.065003771538	21.9885551739427	1	0
"Pmin_ref_seq_6742"	22.2158082301905	21.1486002893302	1	-1
"Pmin_ref_seq_6321"	21.039632692224	19.9888716024141	1	-1
"Pmin_ref_seq_2704"	20.5740872792756	19.526250742483	1	-1
"Pmin_ref_seq_6809"	20.3993765759336	19.3534788570124	1	-1
"Pmin_ref_seq_3407"	20.3640663430864	19.3191347969373	1	-1
"Pmin_ref_seq_4958"	20.0987666411155	19.058156468749	1	-1
"Pmin_ref_seq_4662"	20.0454004446727	19.0062212274126	1	-1
"Pmin_ref_seq_6481"	19.9472961085291	18.9095431470071	1	-1
"Pmin_ref_seq_5257"	19.4376286782854	18.4083362664434	1	-1
"Pmin_ref_seq_4659"	19.3152091445393	18.2887006812169	1	-1
"Pmin_ref_seq_5430"	19.2614119282637	18.2367495654126	1	-1
"Pmin_ref_seq_7797"	19.2268473198738	18.2026452585833	1	-1
"Pmin_ref_seq_5831"	19.0211631806913	18.0019924966866	1	-1
"Pmin_ref_seq_9730"	18.943999593233	17.928451824769	1	-1
"Pmin_ref_seq_7594"	17.2565988216936	16.2744581054039	1	-1
"Pmin_ref_seq_5803"	16.9416676646145	15.963682908096	1	-1
"Pmin_ref_seq_5105"	16.6666244232737	15.6919360353844	1	-1
"Pmin_ref_seq_6662"	16.3879515915323	15.4189723213005	1	-1
"Pmin_ref_seq_8337"	15.600364655119	14.6472953867766	1	-1
"Pmin_ref_seq_9899"	15.5904879060153	14.6378090147615	1	-1
"Pmin_ref_seq_5664"	15.2614579885137	14.3157465378506	1	-1
"Pmin_ref_seq_8616"	15.1906871909506	14.2468914667371	1	-1
"Pmin_ref_seq_834"	14.6144831344947	13.6790176382977	1	-1
"Pmin_ref_seq_2736"	14.5752234941641	13.6412555666299	1	-1
"Pmin_ref_seq_6628"	14.4914086965128	13.5589331913473	1	-1
"Pmin_ref_seq_2930"	14.2478942017723	13.3211906110677	1	-1
"Pmin_ref_seq_7683"	13.9525047168064	13.0296069166221	1	-1
"Pmin_ref_seq_9621"	13.9247937490126	13.0033508730765	1	-1
"Pmin_ref_seq_5721"	13.798398920742	12.8794904924934	1	-1
"Pmin_ref_seq_4848"	13.7740644956082	12.8562377478238	1	-1
"Pmin_ref_seq_6295"	13.4716139211094	12.5602212833305	1	-1
"Pmin_ref_seq_8434"	12.9808801458876	12.0837966158109	1	-1
"Pmin_ref_seq_122"	12.6647501821497	11.7775104028939	1	-1
"Pmin_ref_seq_7810"	12.1661746958095	11.2892165184938	1	-1
"Pmin_ref_seq_1511"	12.0963399800215	11.2210175654001	1	-1
"Pmin_ref_seq_8206"	12.0879699438446	11.2129739437308	1	-1
"Pmin_ref_seq_5775"	11.698631654992	10.8336347069803	1	-1
"Pmin_ref_seq_1283"	11.6845245139097	10.8198463141559	1	-1
"Pmin_ref_seq_2144"	11.6416854034276	10.7789147959731	1	-1
"Pmin_ref_seq_9725"	11.5092832605523	10.6493584225354	1	-1
"Pmin_ref_seq_5671"	10.6941218408251	9.8548156323292	1	-1
"Pmin_ref_seq_7728"	10.5858160894521	9.74830944630138	1	-1
"Pmin_ref_seq_5260"	10.430897121996	9.59785703671259	1	-1
"Pmin_ref_seq_7854"	10.3388692933829	9.50936967185325	1	-1
"Pmin_ref_seq_5874"	10.2985965994006	9.47027074745545	1	-1
"Pmin_ref_seq_4036"	10.1825464488244	9.35685003668886	1	-1
"Pmin_ref_seq_7983"	9.98574782733613	9.16583823608667	1	-1
"Pmin_ref_seq_6039"	9.9640460795522	9.14499789912777	1	-1
"Pmin_ref_seq_2847"	9.63953732818175	8.82872919865641	1	-1
"Pmin_ref_seq_1242"	9.540696651659	8.73353218872419	1	-1
"Pmin_ref_seq_76"	9.4550046463715	8.65145353436995	1	-1
"Pmin_ref_seq_7691"	9.19735044365723	8.40310991042289	1	-1
"Pmin_ref_seq_8707"	8.87321738146247	8.08676348029183	1	-1
"Pmin_ref_seq_4916"	8.86655749879502	8.08063549540293	1	-1
"Pmin_ref_seq_5239"	8.45019215937673	7.67581006028093	1	-1
"Pmin_ref_seq_9087"	8.1570141250328	7.39387321656195	1	-1
"Pmin_ref_seq_9791"	7.92783653989386	7.17343424580067	1	0
"Pmin_ref_seq_5883"	7.89744830936896	7.1445265660798	1	-1
"Pmin_ref_seq_67"	7.84683018503333	7.09685448683596	1	-1
"Pmin_ref_seq_5280"	7.77944879886435	7.03312777425576	1	-1
"Pmin_ref_seq_9935"	7.7228197718116	6.97891822132642	1	-1
"Pmin_ref_seq_17"	7.64956230340969	6.90801526615147	1	-1
"Pmin_ref_seq_6610"	7.48692708117679	6.75091549055052	1	-1
"Pmin_ref_seq_6466"	7.30949220431726	6.57959753850068	1	-1
"Pmin_ref_seq_8628"	7.19174396699828	6.46464369890981	1	-1
"Pmin_ref_seq_3674"	7.05859207010568	6.33748534540585	1	-1
"Pmin_ref_seq_6691"	6.95309994811509	6.23586782596743	1	0
