"GeneIDs"	"GL_LPV"	"Corr. GL_LPV"	"Healthy_male"	"Infected_male"
"Pmin_ref_seq_6972"	103.633285582608	102.119832953502	-1	1
"Pmin_ref_seq_4843"	103.56812873168	102.056093051569	1	-1
"Pmin_ref_seq_9183"	103.535187100226	102.024563761138	-1	1
"Pmin_ref_seq_6498"	102.9000873034	101.390871727236	1	-1
"Pmin_ref_seq_2875"	102.7616102052	101.253797843446	0	-1
"Pmin_ref_seq_9876"	102.719445300157	101.213031633595	-1	1
"Pmin_ref_seq_2917"	102.606316512943	101.101297051373	0	-1
"Pmin_ref_seq_9920"	102.311535999458	100.807906281416	0	-1
"Pmin_ref_seq_886"	102.241370791738	100.739126384222	NA	0
"Pmin_ref_seq_1552"	102.150339542157	100.649476040358	-1	1
"Pmin_ref_seq_3794"	102.003150315154	100.503663342184	1	-1
"Pmin_ref_seq_3201"	101.213362457283	99.7152476639124	-1	1
"Pmin_ref_seq_2472"	99.8330525350244	98.3363055994204	-1	0
"Pmin_ref_seq_6807"	99.7435153429992	98.2481319704679	1	0
"Pmin_ref_seq_9976"	99.2525416676563	97.7585175903878	0	-1
"Pmin_ref_seq_7883"	98.9038814228321	97.4112123996484	-1	1
"Pmin_ref_seq_9688"	98.8611711645086	97.3698529806159	1	-1
"Pmin_ref_seq_5585"	98.7655967895329	97.2756252562755	0	NA
"Pmin_ref_seq_6723"	96.8932375256092	95.4046084802273	1	-1
"Pmin_ref_seq_9906"	96.8200798601277	95.3327891655181	1	-1
"Pmin_ref_seq_7394"	96.678778582689	95.1928221271684	1	-1
"Pmin_ref_seq_3991"	96.2685361884733	94.7839098855451	-1	1
"Pmin_ref_seq_1627"	95.0125739017458	93.529273689869	-1	1
"Pmin_ref_seq_9832"	94.3228783534406	92.8409001958021	-1	1
"Pmin_ref_seq_9841"	94.2229210818709	92.7422609661603	-1	1
"Pmin_ref_seq_4742"	93.8024420678785	92.3230960060658	-1	1
"Pmin_ref_seq_4357"	93.0089662419136	91.5309302700292	0	-1
"Pmin_ref_seq_125"	92.8458659678619	91.3691361457798	-1	1
"Pmin_ref_seq_652"	92.4079283549374	90.9325007661605	-1	1
"Pmin_ref_seq_9665"	92.2642763368115	90.7901470882599	1	-1
"Pmin_ref_seq_228"	92.2592870275159	90.7864522493173	-1	1
"Pmin_ref_seq_1238"	90.3489795922462	88.877435437529	-1	1
"Pmin_ref_seq_459"	90.3463421409067	88.8760847855959	NA	0
"Pmin_ref_seq_6496"	89.9577360248406	88.4887616674552	NA	-1
"Pmin_ref_seq_4550"	89.4670593425436	87.9993642039974	-1	1
"Pmin_ref_seq_722"	89.4480554593777	87.9816357827817	-1	0
"Pmin_ref_seq_6328"	89.2602895870227	87.7951416374903	0	-1
