"GeneIDs"	"GL_LPV"	"Corr. GL_LPV"	"Infected_fem"	"Infected_male"
"Pmin_ref_seq_3001"	68.2352133663314	66.3631441091077	-1	0
"Pmin_ref_seq_299"	68.1185919942894	66.2497517071959	-1	1
"Pmin_ref_seq_7082"	67.7311650956025	65.8655299483842	-1	1
"Pmin_ref_seq_6664"	67.1379981701222	65.2755446816901	NA	-1
"Pmin_ref_seq_950"	66.2628862976307	64.4035913284434	NA	-1
"Pmin_ref_seq_175"	65.94138400364	64.0852247483056	-1	0
"Pmin_ref_seq_8495"	65.5989103993903	63.74586437948	1	-1
"Pmin_ref_seq_7905"	65.4055082190819	63.5555532761488	-1	1
"Pmin_ref_seq_5648"	64.967891848694	63.1210061374885	-1	1
"Pmin_ref_seq_8172"	64.894745348143	63.0509073300195	0	NA
"Pmin_ref_seq_6940"	63.5121441347283	61.6713325712351	-1	1
"Pmin_ref_seq_9266"	62.940375360307	61.1025693069535	-1	1
"Pmin_ref_seq_5505"	61.3410766712195	59.5062554714154	-1	1
"Pmin_ref_seq_7579"	61.2519252638482	59.4200685430079	1	-1
"Pmin_ref_seq_264"	60.9783941651238	59.1494818249303	0	NA
"Pmin_ref_seq_8273"	60.1676896843379	58.3417018971617	1	-1
"Pmin_ref_seq_7994"	59.9193874874314	58.0963046908986	NA	NA
"Pmin_ref_seq_3114"	59.8392162280683	58.019019119773	0	-1
"Pmin_ref_seq_5582"	59.5364041199271	57.7190736522833	-1	0
"Pmin_ref_seq_3998"	59.301761166781	57.4872785420101	-1	1
"Pmin_ref_seq_4417"	59.046198624627	57.234545289875	NA	NA
"Pmin_ref_seq_7883"	59.0130316339871	57.2041892765689	-1	1
"Pmin_ref_seq_9042"	58.5914164044388	56.7853669472048	0	-1
"Pmin_ref_seq_4218"	58.5462055165132	56.7429311133339	0	-1
"Pmin_ref_seq_4766"	58.467538559818	56.6670215911839	NA	-1
"Pmin_ref_seq_3048"	57.9929125463219	56.1951356150538	-1	1
"Pmin_ref_seq_2999"	56.5542801436179	54.7592260706853	1	-1
"Pmin_ref_seq_9922"	56.2486056303779	54.4562574508212	-1	1
